# NODES: id x y ux uy
N 1 1.5000000000e+02 0.0000000000e+00 9.2784539447e-05 -1.5674699843e-01
N 2 1.5000000000e+02 1.0000000000e+02 1.5612798929e-01 -1.5687148273e-01
N 3 0.0000000000e+00 1.0000000000e+02 1.5664285421e-01 7.8199267387e-02
N 4 0.0000000000e+00 0.0000000000e+00 1.1433154214e-05 7.8192323446e-02
N 5 2.0000000000e+02 1.0000000000e+02 1.4504714310e-01 -1.5620654821e-01
N 6 2.0000000000e+02 0.0000000000e+00 3.0041801929e-01 -1.5606658161e-01
N 7 3.5000000000e+02 0.0000000000e+00 3.0050456524e-01 7.7850870788e-02
N 8 3.5000000000e+02 1.0000000000e+02 1.4455275238e-01 7.7857762575e-02
N 9 1.7375000000e+02 0.0000000000e+00 9.1411267931e-05 -1.9393591583e-01
N 10 1.7375000000e+02 2.0000000000e+01 3.1413633376e-02 -1.9393728673e-01
N 11 1.7625000000e+02 2.0000000000e+01 2.6923450828e-01 -1.9309248030e-01
N 12 1.7625000000e+02 0.0000000000e+00 3.0041912198e-01 -1.9309110940e-01
N 13 1.5000000000e+02 1.2500000000e+00 2.0495522767e-03 -1.5674702823e-01
N 14 1.5000000000e+02 2.5000000000e+00 4.0064444765e-03 -1.5674707294e-01
N 15 1.5000000000e+02 3.7500000000e+00 5.9634442441e-03 -1.5674710274e-01
N 16 1.5000000000e+02 5.0000000000e+00 7.9205399379e-03 -1.5674713254e-01
N 17 1.5000000000e+02 6.2500000000e+00 9.8777236417e-03 -1.5674714744e-01
N 18 1.5000000000e+02 7.5000000000e+00 1.1834991165e-02 -1.5674714744e-01
N 19 1.5000000000e+02 8.7500000000e+00 1.3792338781e-02 -1.5674713254e-01
N 20 1.5000000000e+02 1.0000000000e+01 1.5749765560e-02 -1.5674708784e-01
N 21 1.5000000000e+02 1.1250000000e+01 1.7707269639e-02 -1.5674702823e-01
N 22 1.5000000000e+02 1.2500000000e+01 1.9664851949e-02 -1.5674695373e-01
N 23 1.5000000000e+02 1.3750000000e+01 2.1622508764e-02 -1.5674684942e-01
N 24 1.5000000000e+02 1.5000000000e+01 2.3580241948e-02 -1.5674671531e-01
N 25 1.5000000000e+02 1.6250000000e+01 2.5538049638e-02 -1.5674655139e-01
N 26 1.5000000000e+02 1.7500000000e+01 2.7495935559e-02 -1.5674635768e-01
N 27 1.5000000000e+02 1.8750000000e+01 2.9453897849e-02 -1.5674614906e-01
N 28 1.5000000000e+02 2.0000000000e+01 3.1411934644e-02 -1.5674589574e-01
