time,cmod_mm,load_N
0.000000000000e+00,0.000000000000e+00,-0.000000000000e+00
4.999999888241e-03,4.412378475536e-04,1.858776321411e+02
9.999999776483e-03,8.824756951071e-04,3.717552642822e+02
1.499999966472e-02,1.323713513557e-03,5.576328887939e+02
1.999999955297e-02,1.773281837814e-03,7.422626037598e+02
2.500000037253e-02,2.229564415757e-03,9.259056091309e+02
2.999999932945e-02,2.696901909076e-03,1.107882659912e+03
3.500000014901e-02,3.182549728081e-03,1.287083831787e+03
3.999999910593e-02,3.693306643981e-03,1.462537689209e+03
4.500000178814e-02,4.226779448800e-03,1.634549957275e+03
5.000000074506e-02,4.786623525433e-03,1.802507446289e+03
5.499999970198e-02,5.371849634685e-03,1.966436614990e+03
5.999999865890e-02,5.985135911033e-03,2.125823455811e+03
6.499999761581e-02,6.628604605794e-03,2.280285034180e+03
7.000000029802e-02,7.302797515877e-03,2.429562316895e+03
7.500000298023e-02,8.009583922103e-03,2.573228210449e+03
7.999999821186e-02,8.753007277846e-03,2.710516113281e+03
8.500000089407e-02,9.528909344226e-03,2.840265686035e+03
9.000000357628e-02,1.033664029092e-02,2.962620178223e+03
9.499999880791e-02,1.118117361329e-02,3.078399108887e+03
1.000000014901e-01,1.206464762799e-02,3.187223327637e+03
1.049999967217e-01,1.298785302788e-02,3.288878417969e+03
1.099999994040e-01,1.395120634697e-02,3.383134826660e+03
1.150000020862e-01,1.493568602018e-02,3.467473632812e+03
1.199999973178e-01,1.595938799437e-02,3.544193420410e+03
1.250000000000e-01,1.702684490010e-02,3.613401916504e+03
1.299999952316e-01,1.814082998317e-02,3.674728759766e+03
1.350000053644e-01,1.930293673649e-02,3.727954833984e+03
1.400000005960e-01,2.051552769262e-02,3.772737060547e+03
1.449999958277e-01,2.177986141760e-02,3.808896484375e+03
1.500000059605e-01,2.309861755930e-02,3.836065063477e+03
1.550000011921e-01,2.447259286419e-02,3.854150756836e+03
1.599999964237e-01,2.590202679858e-02,3.863142578125e+03
