time,load_N,cmod_mm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.999999747378751636e-05,3.916366517543792725e+00,9.176385447062784806e-06
1.999999949475750327e-04,7.832733035087585449e+00,1.835277089412556961e-05
3.000000142492353916e-04,1.174909996986389160e+01,2.752915861492510885e-05
3.999999898951500654e-04,1.566546607017517090e+01,3.670554178825113922e-05
5.000000237487256527e-04,1.958183288574218750e+01,4.588192769006127492e-05
6.000000284984707832e-04,2.349819993972778320e+01,5.505831722985021770e-05
6.999999750405550003e-04,2.741456556320190430e+01,6.423470040317624807e-05
7.999999797903001308e-04,3.133093214035034180e+01,7.341108357650227845e-05
8.999999845400452614e-04,3.524729919433593750e+01,8.258747402578592300e-05
1.000000047497451305e-03,3.916366577148437500e+01,9.176385538012254983e-05
1.099999994039535522e-03,4.308003139495849609e+01,1.009402458294061944e-04
1.200000056996941566e-03,4.699639987945556641e+01,1.101166344597004354e-04
1.300000003539025784e-03,5.091276550292968750e+01,1.192930103570688516e-04
1.399999950081110001e-03,5.482913112640380859e+01,1.284694008063524961e-04
1.500000013038516045e-03,5.874549865722656250e+01,1.376457912556361407e-04
1.599999959580600262e-03,6.266186428070068359e+01,1.468221671530045569e-04
1.700000022538006306e-03,6.657823276519775391e+01,1.559985576022882015e-04
1.799999969080090523e-03,7.049459838867187500e+01,1.651749480515718460e-04
1.900000032037496567e-03,7.441096305847167969e+01,1.743513385008554906e-04
2.000000094994902611e-03,7.832733154296875000e+01,1.835277107602450997e-04
2.099999925121665001e-03,8.224370002746582031e+01,1.927041012095287442e-04
2.199999988079071045e-03,8.616006278991699219e+01,2.018804916588123888e-04
2.300000051036477089e-03,9.007643318176269531e+01,2.110568821080960333e-04
2.400000113993883133e-03,9.399279975891113281e+01,2.202332689194008708e-04
2.499999944120645523e-03,9.790916442871093750e+01,2.294096339028328657e-04
2.600000007078051567e-03,1.018255310058593750e+02,2.385860207141377032e-04
2.700000070035457611e-03,1.057418956756591797e+02,2.477624148014001548e-04
2.799999900162220001e-03,1.096582622528076172e+02,2.569388016127049923e-04
2.899999963119626045e-03,1.135746326446533203e+02,2.661151956999674439e-04
3.000000026077032089e-03,1.174909973144531250e+02,2.752915825112722814e-04
3.100000089034438133e-03,1.214073677062988281e+02,2.844679693225771189e-04
3.199999919161200523e-03,1.253237285614013672e+02,2.936443343060091138e-04
3.299999982118606567e-03,1.292400951385498047e+02,3.028207211173139513e-04
3.400000045076012611e-03,1.331564655303955078e+02,3.119971152045764029e-04
3.500000108033418655e-03,1.370728302001953125e+02,3.211735020158812404e-04
3.599999938160181046e-03,1.409891967773437500e+02,3.303498961031436920e-04
3.700000001117587090e-03,1.449055671691894531e+02,3.395262829144485295e-04
3.800000064074993134e-03,1.488219261169433594e+02,3.487026770017109811e-04
3.899999894201755524e-03,1.527382965087890625e+02,3.578790347091853619e-04
4.000000189989805222e-03,1.566546630859375000e+02,3.670554215204901993e-04
4.100000020116567612e-03,1.605710296630859375e+02,3.762318156077526510e-04
4.199999850243330002e-03,1.644874000549316406e+02,3.854082024190574884e-04
4.300000146031379700e-03,1.684037704467773438e+02,3.945845674024894834e-04
4.399999976158142090e-03,1.723201255798339844e+02,4.037609833176247776e-04
4.499999806284904480e-03,1.762364997863769531e+02,4.129373483010567725e-04
4.600000102072954178e-03,1.801528663635253906e+02,4.221137642161920667e-04
4.699999932199716568e-03,1.840692253112792969e+02,4.312901291996240616e-04
4.800000227987766266e-03,1.879855995178222656e+02,4.404665378388017416e-04
4.900000058114528656e-03,1.919019622802734375e+02,4.496429028222337365e-04
4.999999888241291046e-03,1.958183288574218750e+02,4.588192678056657314e-04
5.100000184029340744e-03,1.997346954345703125e+02,4.679956909967586398e-04
5.200000014156103134e-03,2.036510620117187500e+02,4.771720414282754064e-04
5.299999844282865524e-03,2.075674285888671875e+02,4.863484646193683147e-04
5.400000140070915222e-03,2.114837913513183594e+02,4.955248296028003097e-04
5.499999970197677612e-03,2.154001655578613281e+02,5.047012382419779897e-04
5.599999800324440002e-03,2.193165245056152344e+02,5.138776032254099846e-04
5.700000096112489700e-03,2.232328987121582031e+02,5.230539682088419795e-04
5.799999926239252090e-03,2.271492652893066406e+02,5.322303913999348879e-04
5.900000222027301788e-03,2.310656280517578125e+02,5.414067418314516544e-04
6.000000052154064178e-03,2.349819946289062500e+02,5.505831650225445628e-04
6.099999882280826569e-03,2.388983612060546875e+02,5.597595300059765577e-04
6.200000178068876266e-03,2.428147354125976562e+02,5.689359386451542377e-04
6.300000008195638657e-03,2.467310943603515625e+02,5.781123036285862327e-04
6.399999838322401047e-03,2.506474571228027344e+02,5.872886686120182276e-04
6.500000134110450745e-03,2.545638313293457031e+02,5.964650918031111360e-04
6.599999964237213135e-03,2.584801902770996094e+02,6.056414422346279025e-04
6.699999794363975525e-03,2.623965644836425781e+02,6.148178654257208109e-04
6.800000090152025223e-03,2.663129310607910156e+02,6.239942304091528058e-04
6.899999920278787613e-03,2.702292861938476562e+02,6.331706536002457142e-04
7.000000216066837311e-03,2.741456604003906250e+02,6.423470040317624807e-04
7.100000046193599701e-03,2.780620269775390625e+02,6.515233690151944757e-04
7.199999876320362091e-03,2.819783935546875000e+02,6.606997922062873840e-04
7.300000172108411789e-03,2.858947601318359375e+02,6.698761426378041506e-04
7.400000002235174179e-03,2.898111343383789062e+02,6.790525658288970590e-04
7.499999832361936569e-03,2.937275009155273438e+02,6.882289308123290539e-04
7.600000128149986267e-03,2.976438522338867188e+02,6.974053540034219623e-04
7.699999958276748657e-03,3.015602264404296875e+02,7.065817044349387288e-04
7.799999788403511047e-03,3.054765930175781250e+02,7.157580694183707237e-04
7.899999618530273438e-03,3.093929595947265625e+02,7.249344926094636321e-04
8.000000379979610443e-03,3.133093261718750000e+02,7.341108430409803987e-04
8.100000210106372833e-03,3.172256927490234375e+02,7.432872662320733070e-04
8.200000040233135223e-03,3.211420593261718750e+02,7.524636312155053020e-04
8.299999870359897614e-03,3.250584259033203125e+02,7.616399961989372969e-04
8.399999700486660004e-03,3.289748001098632812e+02,7.708164048381149769e-04
8.500000461935997009e-03,3.328911590576171875e+02,7.799928280292078853e-04
8.600000292062759399e-03,3.368075408935546875e+02,7.891691348049789667e-04
8.700000122189521790e-03,3.407238845825195312e+02,7.983455434441566467e-04
8.799999952316284180e-03,3.446402511596679688e+02,8.075219666352495551e-04
8.899999782443046570e-03,3.485566329956054688e+02,8.166983898263424635e-04
8.999999612569808960e-03,3.524729995727539062e+02,8.258746966021135449e-04
9.100000374019145966e-03,3.563893508911132812e+02,8.350511052412912250e-04
9.200000204145908356e-03,3.603057327270507812e+02,8.442275284323841333e-04
9.300000034272670746e-03,3.642220993041992188e+02,8.534038206562399864e-04
9.399999864399433136e-03,3.681384506225585938e+02,8.625802583992481232e-04
9.499999694526195526e-03,3.720548324584960938e+02,8.717566670384258032e-04
9.600000455975532532e-03,3.759711990356445312e+02,8.809330756776034832e-04
9.700000286102294922e-03,3.798875579833984375e+02,8.901093970052897930e-04
9.800000116229057312e-03,3.838039245605468750e+02,8.992858056444674730e-04
