# cmod[mm], load[N]
8.824757e-06, 3.717553e+00
1.764951e-05, 7.435105e+00
2.647427e-05, 1.115266e+01
3.529903e-05, 1.487021e+01
4.412378e-05, 1.858776e+01
5.294854e-05, 2.230532e+01
6.177330e-05, 2.602287e+01
7.059806e-05, 2.974042e+01
7.942281e-05, 3.345797e+01
8.824757e-05, 3.717553e+01
9.707233e-05, 4.089308e+01
1.058971e-04, 4.461063e+01
1.147218e-04, 4.832818e+01
1.235466e-04, 5.204574e+01
1.323714e-04, 5.576329e+01
1.411961e-04, 5.948084e+01
1.500209e-04, 6.319839e+01
1.588456e-04, 6.691595e+01
1.676704e-04, 7.063350e+01
1.764951e-04, 7.435105e+01
1.853199e-04, 7.806860e+01
1.941447e-04, 8.178616e+01
2.029694e-04, 8.550371e+01
2.117942e-04, 8.922126e+01
2.206189e-04, 9.293881e+01
2.294437e-04, 9.665637e+01
2.382684e-04, 1.003739e+02
2.470932e-04, 1.040915e+02
2.559180e-04, 1.078090e+02
2.647427e-04, 1.115266e+02
2.735675e-04, 1.152441e+02
2.823922e-04, 1.189617e+02
2.912170e-04, 1.226792e+02
3.000417e-04, 1.263968e+02
3.088665e-04, 1.301143e+02
3.176913e-04, 1.338319e+02
3.265160e-04, 1.375494e+02
3.353408e-04, 1.412670e+02
3.441655e-04, 1.449846e+02
3.529903e-04, 1.487021e+02
3.618150e-04, 1.524197e+02
3.706398e-04, 1.561372e+02
3.794645e-04, 1.598548e+02
3.882893e-04, 1.635723e+02
3.971141e-04, 1.672899e+02
4.059388e-04, 1.710074e+02
4.147636e-04, 1.747250e+02
4.235883e-04, 1.784425e+02
4.324131e-04, 1.821601e+02
4.412378e-04, 1.858776e+02
4.500626e-04, 1.895952e+02
4.588874e-04, 1.933127e+02
4.677121e-04, 1.970303e+02
4.765369e-04, 2.007478e+02
4.853616e-04, 2.044654e+02
4.941864e-04, 2.081829e+02
5.030111e-04, 2.119005e+02
5.118359e-04, 2.156180e+02
5.206607e-04, 2.193356e+02
5.294854e-04, 2.230532e+02
5.383102e-04, 2.267707e+02
5.471349e-04, 2.304883e+02
5.559597e-04, 2.342058e+02
5.647844e-04, 2.379234e+02
5.736092e-04, 2.416409e+02
5.824340e-04, 2.453585e+02
5.912587e-04, 2.490760e+02
6.000835e-04, 2.527936e+02
6.089082e-04, 2.565111e+02
6.177330e-04, 2.602287e+02
6.265577e-04, 2.639462e+02
6.353825e-04, 2.676638e+02
6.442073e-04, 2.713813e+02
6.530320e-04, 2.750989e+02
6.618568e-04, 2.788164e+02
6.706815e-04, 2.825340e+02
6.795063e-04, 2.862515e+02
6.883310e-04, 2.899691e+02
6.971558e-04, 2.936867e+02
7.059806e-04, 2.974042e+02
7.148053e-04, 3.011218e+02
7.236301e-04, 3.048393e+02
7.324548e-04, 3.085569e+02
7.412796e-04, 3.122744e+02
7.501043e-04, 3.159920e+02
7.589291e-04, 3.197095e+02
7.677539e-04, 3.234271e+02
7.765786e-04, 3.271446e+02
7.854034e-04, 3.308622e+02
7.942281e-04, 3.345797e+02
8.030529e-04, 3.382973e+02
8.118776e-04, 3.420148e+02
8.207024e-04, 3.457324e+02
8.295272e-04, 3.494499e+02
8.383519e-04, 3.531675e+02
8.471767e-04, 3.568850e+02
8.560014e-04, 3.606026e+02
8.648262e-04, 3.643202e+02
8.736509e-04, 3.680377e+02
8.824757e-04, 3.717553e+02
8.913005e-04, 3.754728e+02
9.001252e-04, 3.791904e+02
9.089500e-04, 3.829079e+02
9.177747e-04, 3.866255e+02
9.265995e-04, 3.903430e+02
9.354242e-04, 3.940606e+02
9.442490e-04, 3.977781e+02
9.530738e-04, 4.014957e+02
9.618985e-04, 4.052132e+02
9.707233e-04, 4.089308e+02
9.795480e-04, 4.126483e+02
9.883728e-04, 4.163659e+02
9.971975e-04, 4.200834e+02
1.006022e-03, 4.238010e+02
1.014847e-03, 4.275185e+02
1.023672e-03, 4.312361e+02
1.032497e-03, 4.349537e+02
1.041321e-03, 4.386712e+02
1.050146e-03, 4.423888e+02
1.058971e-03, 4.461063e+02
1.067796e-03, 4.498239e+02
1.076620e-03, 4.535414e+02
1.085445e-03, 4.572590e+02
1.094270e-03, 4.609765e+02
1.103095e-03, 4.646941e+02
1.111919e-03, 4.684116e+02
1.120744e-03, 4.721292e+02
