# step, mean_h_oliver[mm], min_h_oliver[mm], max_h_oliver[mm]
1, 1.928421e+00, 6.301616e-01, 6.373774e+00
2, 1.928421e+00, 6.301616e-01, 6.373774e+00
3, 1.928421e+00, 6.301616e-01, 6.373774e+00
4, 1.928421e+00, 6.301616e-01, 6.373774e+00
5, 1.928421e+00, 6.301616e-01, 6.373774e+00
6, 1.928421e+00, 6.301616e-01, 6.373774e+00
7, 1.928421e+00, 6.301616e-01, 6.373774e+00
8, 1.928421e+00, 6.301616e-01, 6.373774e+00
9, 1.928421e+00, 6.301616e-01, 6.373774e+00
10, 1.928421e+00, 6.301616e-01, 6.373774e+00
11, 1.928421e+00, 6.301616e-01, 6.373774e+00
12, 1.928421e+00, 6.301616e-01, 6.373774e+00
13, 1.928421e+00, 6.301616e-01, 6.373774e+00
14, 1.928421e+00, 6.301616e-01, 6.373774e+00
15, 1.928421e+00, 6.301616e-01, 6.373774e+00
16, 1.928421e+00, 6.301616e-01, 6.373774e+00
17, 1.928421e+00, 6.301616e-01, 6.373774e+00
18, 1.928421e+00, 6.301616e-01, 6.373774e+00
19, 1.928421e+00, 6.301616e-01, 6.373774e+00
20, 1.928421e+00, 6.301616e-01, 6.373774e+00
21, 1.928421e+00, 6.301616e-01, 6.373774e+00
22, 1.928421e+00, 6.301616e-01, 6.373774e+00
23, 1.928421e+00, 6.301616e-01, 6.373774e+00
24, 1.928421e+00, 6.301616e-01, 6.373774e+00
25, 1.928421e+00, 6.301616e-01, 6.373774e+00
26, 1.928421e+00, 6.301616e-01, 6.373774e+00
27, 1.928421e+00, 6.301616e-01, 6.373774e+00
28, 1.928421e+00, 6.301616e-01, 6.373774e+00
29, 1.928421e+00, 6.301616e-01, 6.373774e+00
30, 1.928421e+00, 6.301616e-01, 6.373774e+00
31, 1.928421e+00, 6.301616e-01, 6.373774e+00
32, 1.928421e+00, 6.301616e-01, 6.373774e+00
33, 1.928421e+00, 6.301616e-01, 6.373774e+00
34, 1.928421e+00, 6.301616e-01, 6.373774e+00
35, 1.928421e+00, 6.301616e-01, 6.373774e+00
36, 1.928421e+00, 6.301616e-01, 6.373774e+00
37, 1.928421e+00, 6.301616e-01, 6.373774e+00
38, 1.928421e+00, 6.301616e-01, 6.373774e+00
39, 1.928421e+00, 6.301616e-01, 6.373774e+00
40, 1.928421e+00, 6.301616e-01, 6.373774e+00
41, 1.928421e+00, 6.301616e-01, 6.373774e+00
42, 1.928421e+00, 6.301616e-01, 6.373774e+00
43, 1.928421e+00, 6.301616e-01, 6.373774e+00
44, 1.928421e+00, 6.301616e-01, 6.373774e+00
45, 1.928421e+00, 6.301616e-01, 6.373774e+00
46, 1.928421e+00, 6.301616e-01, 6.373774e+00
47, 1.928421e+00, 6.301616e-01, 6.373774e+00
48, 1.928421e+00, 6.301616e-01, 6.373774e+00
49, 1.928421e+00, 6.301616e-01, 6.373774e+00
50, 1.928421e+00, 6.301616e-01, 6.373774e+00
51, 1.928421e+00, 6.301616e-01, 6.373774e+00
52, 1.928421e+00, 6.301616e-01, 6.373774e+00
53, 1.928421e+00, 6.301616e-01, 6.373774e+00
54, 1.928421e+00, 6.301616e-01, 6.373774e+00
55, 1.928421e+00, 6.301616e-01, 6.373774e+00
56, 1.928421e+00, 6.301616e-01, 6.373774e+00
57, 1.928421e+00, 6.301616e-01, 6.373774e+00
58, 1.928421e+00, 6.301616e-01, 6.373774e+00
59, 1.928421e+00, 6.301616e-01, 6.373774e+00
60, 1.928421e+00, 6.301616e-01, 6.373774e+00
61, 1.928421e+00, 6.301616e-01, 6.373774e+00
62, 1.928421e+00, 6.301616e-01, 6.373774e+00
63, 1.928421e+00, 6.301616e-01, 6.373774e+00
64, 1.928421e+00, 6.301616e-01, 6.373774e+00
65, 1.928421e+00, 6.301616e-01, 6.373774e+00
66, 1.928421e+00, 6.301616e-01, 6.373774e+00
67, 1.928421e+00, 6.301616e-01, 6.373774e+00
68, 1.928421e+00, 6.301616e-01, 6.373774e+00
69, 1.928421e+00, 6.301616e-01, 6.373774e+00
70, 1.928421e+00, 6.301616e-01, 6.373774e+00
71, 1.928421e+00, 6.301616e-01, 6.373774e+00
72, 1.928421e+00, 6.301616e-01, 6.373774e+00
73, 1.928421e+00, 6.301616e-01, 6.373774e+00
74, 1.928421e+00, 6.301616e-01, 6.373774e+00
75, 1.928421e+00, 6.301616e-01, 6.373774e+00
76, 1.928421e+00, 6.301616e-01, 6.373774e+00
77, 1.928421e+00, 6.301616e-01, 6.373774e+00
78, 1.928421e+00, 6.301616e-01, 6.373774e+00
79, 1.928421e+00, 6.301616e-01, 6.373774e+00
80, 1.928421e+00, 6.301616e-01, 6.373774e+00
81, 1.928421e+00, 6.301616e-01, 6.373774e+00
82, 1.928421e+00, 6.301616e-01, 6.373774e+00
83, 1.928421e+00, 6.301616e-01, 6.373774e+00
84, 1.928421e+00, 6.301616e-01, 6.373774e+00
85, 1.928421e+00, 6.301616e-01, 6.373774e+00
86, 1.928421e+00, 6.301616e-01, 6.373774e+00
87, 1.928421e+00, 6.301616e-01, 6.373774e+00
88, 1.928421e+00, 6.301616e-01, 6.373774e+00
89, 1.928421e+00, 6.301616e-01, 6.373774e+00
90, 1.928421e+00, 6.301616e-01, 6.373774e+00
91, 1.928421e+00, 6.301616e-01, 6.373774e+00
92, 1.928421e+00, 6.301616e-01, 6.373774e+00
93, 1.928421e+00, 6.301616e-01, 6.373774e+00
94, 1.928421e+00, 6.301616e-01, 6.373774e+00
95, 1.928421e+00, 6.301616e-01, 6.373774e+00
96, 1.928421e+00, 6.301616e-01, 6.373774e+00
97, 1.928421e+00, 6.301616e-01, 6.373774e+00
98, 1.928421e+00, 6.301616e-01, 6.373774e+00
99, 1.928421e+00, 6.301616e-01, 6.373774e+00
100, 1.928421e+00, 6.301616e-01, 6.373774e+00
101, 1.928421e+00, 6.301616e-01, 6.373774e+00
102, 1.928421e+00, 6.301616e-01, 6.373774e+00
103, 1.928421e+00, 6.301616e-01, 6.373774e+00
104, 1.928421e+00, 6.301616e-01, 6.373774e+00
105, 1.928421e+00, 6.301616e-01, 6.373774e+00
106, 1.928421e+00, 6.301616e-01, 6.373774e+00
107, 1.928421e+00, 6.301616e-01, 6.373774e+00
108, 1.928421e+00, 6.301616e-01, 6.373774e+00
109, 1.928421e+00, 6.301616e-01, 6.373774e+00
110, 1.928421e+00, 6.301616e-01, 6.373774e+00
111, 1.928421e+00, 6.301616e-01, 6.373774e+00
112, 1.928421e+00, 6.301616e-01, 6.373774e+00
113, 1.928421e+00, 6.301616e-01, 6.373774e+00
114, 1.928421e+00, 6.301616e-01, 6.373774e+00
115, 1.928421e+00, 6.301616e-01, 6.373774e+00
116, 1.928421e+00, 6.301616e-01, 6.373774e+00
117, 1.928421e+00, 6.301616e-01, 6.373774e+00
118, 1.928421e+00, 6.301616e-01, 6.373774e+00
119, 1.928421e+00, 6.301616e-01, 6.373774e+00
120, 1.928421e+00, 6.301616e-01, 6.373774e+00
121, 1.928421e+00, 6.301616e-01, 6.373774e+00
122, 1.928421e+00, 6.301616e-01, 6.373774e+00
123, 1.928421e+00, 6.301616e-01, 6.373774e+00
124, 1.928421e+00, 6.301616e-01, 6.373774e+00
125, 1.928421e+00, 6.301616e-01, 6.373774e+00
126, 1.928421e+00, 6.301616e-01, 6.373774e+00
127, 1.928421e+00, 6.301616e-01, 6.373774e+00
128, 1.928421e+00, 6.301616e-01, 6.373774e+00
129, 1.928421e+00, 6.301616e-01, 6.373774e+00
130, 1.928421e+00, 6.301616e-01, 6.373774e+00
131, 1.928421e+00, 6.301616e-01, 6.373774e+00
