# cmod[mm], load[N]
0.000000e+00, -0.000000e+00
8.824757e-05, 3.717553e+01
1.764951e-04, 7.435105e+01
2.647427e-04, 1.115266e+02
3.529903e-04, 1.487021e+02
4.412378e-04, 1.858776e+02
5.294854e-04, 2.230532e+02
6.177330e-04, 2.602287e+02
7.059806e-04, 2.974042e+02
7.942281e-04, 3.345797e+02
8.824757e-04, 3.717553e+02
9.707233e-04, 4.089308e+02
1.058971e-03, 4.461063e+02
1.147218e-03, 4.832818e+02
1.235466e-03, 5.204574e+02
1.323714e-03, 5.576329e+02
1.411961e-03, 5.948084e+02
1.500404e-03, 6.319545e+02
1.591446e-03, 6.687103e+02
1.682566e-03, 7.054557e+02
1.773720e-03, 7.421974e+02
1.864908e-03, 7.789348e+02
1.956123e-03, 8.156690e+02
2.047357e-03, 8.524010e+02
2.138614e-03, 8.891305e+02
2.229888e-03, 9.258579e+02
2.321172e-03, 9.625844e+02
2.412477e-03, 9.993082e+02
2.506532e-03, 1.035614e+03
2.602404e-03, 1.071645e+03
2.674356e-03, 1.098661e+03
2.746327e-03, 1.125673e+03
2.818335e-03, 1.152680e+03
2.914401e-03, 1.188679e+03
3.011835e-03, 1.224471e+03
3.085480e-03, 1.251230e+03
3.159824e-03, 1.277887e+03
3.235502e-03, 1.304344e+03
3.311335e-03, 1.330778e+03
3.387449e-03, 1.357173e+03
3.463588e-03, 1.383563e+03
3.540422e-03, 1.409847e+03
3.618217e-03, 1.435987e+03
3.696119e-03, 1.462111e+03
3.774771e-03, 1.488121e+03
3.854412e-03, 1.513983e+03
3.934116e-03, 1.539833e+03
4.013995e-03, 1.565656e+03
4.094680e-03, 1.591355e+03
4.176046e-03, 1.616949e+03
4.257818e-03, 1.642482e+03
4.340681e-03, 1.667850e+03
4.424132e-03, 1.693126e+03
4.507995e-03, 1.718338e+03
4.592072e-03, 1.743515e+03
4.677154e-03, 1.768535e+03
4.762688e-03, 1.793482e+03
4.848556e-03, 1.818374e+03
4.935380e-03, 1.843118e+03
5.022530e-03, 1.867806e+03
5.109997e-03, 1.892442e+03
5.198123e-03, 1.916972e+03
5.287569e-03, 1.941296e+03
5.377428e-03, 1.965556e+03
5.467782e-03, 1.989734e+03
5.559179e-03, 2.013742e+03
5.650811e-03, 2.037707e+03
5.742656e-03, 2.061634e+03
5.835748e-03, 2.085361e+03
5.929157e-03, 2.109032e+03
6.023079e-03, 2.132619e+03
6.118355e-03, 2.155992e+03
6.213928e-03, 2.179316e+03
6.310072e-03, 2.202547e+03
6.334365e-03, 2.208312e+03
6.358713e-03, 2.214069e+03
6.383107e-03, 2.219818e+03
6.407514e-03, 2.225564e+03
6.444140e-03, 2.234181e+03
6.499147e-03, 2.247094e+03
6.582162e-03, 2.266376e+03
6.665858e-03, 2.285543e+03
6.750109e-03, 2.304616e+03
6.834703e-03, 2.323631e+03
6.919948e-03, 2.342535e+03
7.005729e-03, 2.361346e+03
7.091941e-03, 2.380081e+03
7.178834e-03, 2.398703e+03
7.266177e-03, 2.417246e+03
7.353864e-03, 2.435726e+03
7.442039e-03, 2.454123e+03
7.531121e-03, 2.472367e+03
7.620832e-03, 2.490504e+03
7.710922e-03, 2.508574e+03
7.801546e-03, 2.526548e+03
7.892781e-03, 2.544415e+03
7.984442e-03, 2.562206e+03
8.076603e-03, 2.579908e+03
8.169463e-03, 2.597491e+03
8.262732e-03, 2.615000e+03
8.356781e-03, 2.632375e+03
