# step, mean_h_oliver[mm], min_h_oliver[mm], max_h_oliver[mm]
1, 1.928421e+00, 6.301616e-01, 6.373774e+00
2, 1.928421e+00, 6.301616e-01, 6.373774e+00
3, 1.928421e+00, 6.301616e-01, 6.373774e+00
4, 1.928421e+00, 6.301616e-01, 6.373774e+00
5, 1.928421e+00, 6.301616e-01, 6.373774e+00
6, 1.928421e+00, 6.301616e-01, 6.373774e+00
7, 1.928421e+00, 6.301616e-01, 6.373774e+00
8, 1.928421e+00, 6.301616e-01, 6.373774e+00
9, 1.928421e+00, 6.301616e-01, 6.373774e+00
10, 1.928421e+00, 6.301616e-01, 6.373774e+00
11, 1.928421e+00, 6.301616e-01, 6.373774e+00
12, 1.928421e+00, 6.301616e-01, 6.373774e+00
13, 1.928421e+00, 6.301616e-01, 6.373774e+00
14, 1.928421e+00, 6.301616e-01, 6.373774e+00
15, 1.928421e+00, 6.301616e-01, 6.373774e+00
16, 1.928421e+00, 6.301616e-01, 6.373774e+00
17, 1.928421e+00, 6.301616e-01, 6.373774e+00
18, 1.928428e+00, 6.301619e-01, 6.373774e+00
19, 1.928523e+00, 6.301634e-01, 6.373774e+00
20, 1.928654e+00, 6.301652e-01, 6.373774e+00
21, 1.928796e+00, 6.301670e-01, 6.373774e+00
22, 1.928938e+00, 6.301687e-01, 6.373774e+00
23, 1.929072e+00, 6.301700e-01, 6.373774e+00
24, 1.929189e+00, 6.301711e-01, 6.373774e+00
25, 1.929296e+00, 6.301720e-01, 6.373774e+00
26, 1.929394e+00, 6.301728e-01, 6.373774e+00
27, 1.929482e+00, 6.301733e-01, 6.373774e+00
28, 1.929564e+00, 6.301738e-01, 6.373774e+00
29, 1.929669e+00, 6.301742e-01, 6.373774e+00
30, 1.929818e+00, 6.301740e-01, 6.373774e+00
31, 1.929998e+00, 6.301735e-01, 6.373774e+00
32, 1.930194e+00, 6.301729e-01, 6.373774e+00
33, 1.930402e+00, 6.301725e-01, 6.373774e+00
34, 1.930614e+00, 6.301722e-01, 6.373774e+00
35, 1.930836e+00, 6.301716e-01, 6.373774e+00
36, 1.931075e+00, 6.301709e-01, 6.373774e+00
37, 1.931326e+00, 6.301695e-01, 6.373774e+00
38, 1.931602e+00, 6.301667e-01, 6.373774e+00
39, 1.931891e+00, 6.301633e-01, 6.373774e+00
40, 1.932180e+00, 6.301595e-01, 6.373774e+00
41, 1.932483e+00, 6.301545e-01, 6.373774e+00
42, 1.932799e+00, 6.301483e-01, 6.373774e+00
43, 1.933122e+00, 6.301412e-01, 6.373774e+00
44, 1.933450e+00, 6.301326e-01, 6.373774e+00
45, 1.933788e+00, 6.301231e-01, 6.373774e+00
46, 1.934132e+00, 6.301129e-01, 6.373774e+00
47, 1.934493e+00, 6.301010e-01, 6.373774e+00
48, 1.934864e+00, 6.300885e-01, 6.373774e+00
49, 1.935240e+00, 6.300747e-01, 6.373774e+00
50, 1.935622e+00, 6.300596e-01, 6.373774e+00
51, 1.936016e+00, 6.300440e-01, 6.373774e+00
52, 1.936424e+00, 6.300271e-01, 6.373774e+00
53, 1.936856e+00, 6.300094e-01, 6.373774e+00
54, 1.937297e+00, 6.299906e-01, 6.373774e+00
55, 1.937696e+00, 6.299706e-01, 6.373774e+00
56, 1.938109e+00, 6.299498e-01, 6.373774e+00
57, 1.938531e+00, 6.299277e-01, 6.373774e+00
58, 1.938956e+00, 6.299054e-01, 6.373774e+00
59, 1.939380e+00, 6.298815e-01, 6.373774e+00
60, 1.939755e+00, 6.298567e-01, 6.373774e+00
61, 1.940147e+00, 6.298319e-01, 6.373774e+00
62, 1.940563e+00, 6.298066e-01, 6.373774e+00
63, 1.940989e+00, 6.297816e-01, 6.373774e+00
64, 1.941431e+00, 6.297558e-01, 6.373774e+00
65, 1.941882e+00, 6.297158e-01, 6.373774e+00
66, 1.942340e+00, 6.296610e-01, 6.373774e+00
67, 1.942813e+00, 6.296055e-01, 6.373774e+00
68, 1.943305e+00, 6.295492e-01, 6.373774e+00
69, 1.943781e+00, 6.294928e-01, 6.373774e+00
70, 1.944254e+00, 6.294381e-01, 6.373774e+00
71, 1.944751e+00, 6.293847e-01, 6.373774e+00
72, 1.945270e+00, 6.293332e-01, 6.373774e+00
73, 1.945805e+00, 6.292841e-01, 6.373774e+00
74, 1.946338e+00, 6.292391e-01, 6.373774e+00
75, 1.946846e+00, 6.291982e-01, 6.373774e+00
76, 1.947345e+00, 6.291630e-01, 6.373774e+00
77, 1.947854e+00, 6.291338e-01, 6.373774e+00
78, 1.948386e+00, 6.291124e-01, 6.373774e+00
79, 1.948913e+00, 6.291000e-01, 6.373774e+00
80, 1.949444e+00, 6.290979e-01, 6.373774e+00
81, 1.949986e+00, 6.291077e-01, 6.373774e+00
82, 1.950551e+00, 6.291309e-01, 6.373774e+00
83, 1.951102e+00, 6.291692e-01, 6.373774e+00
84, 1.951666e+00, 6.292245e-01, 6.373774e+00
85, 1.952236e+00, 6.292984e-01, 6.373774e+00
86, 1.952811e+00, 6.293940e-01, 6.373774e+00
87, 1.953391e+00, 6.295117e-01, 6.373774e+00
88, 1.953978e+00, 6.296540e-01, 6.373774e+00
89, 1.954563e+00, 6.298233e-01, 6.373774e+00
90, 1.955162e+00, 6.300217e-01, 6.373774e+00
91, 1.955766e+00, 6.302531e-01, 6.373774e+00
92, 1.956365e+00, 6.305177e-01, 6.373774e+00
93, 1.956964e+00, 6.308165e-01, 6.373774e+00
94, 1.957552e+00, 6.311547e-01, 6.373774e+00
95, 1.958138e+00, 6.315355e-01, 6.373774e+00
96, 1.958725e+00, 6.319610e-01, 6.373774e+00
97, 1.959316e+00, 6.324316e-01, 6.373774e+00
98, 1.959898e+00, 6.329473e-01, 6.373774e+00
99, 1.960485e+00, 6.335052e-01, 6.373774e+00
100, 1.961080e+00, 6.341151e-01, 6.373774e+00
101, 1.961677e+00, 6.347744e-01, 6.373774e+00
102, 1.962264e+00, 6.354793e-01, 6.373774e+00
103, 1.962861e+00, 6.361680e-01, 6.373774e+00
104, 1.963468e+00, 6.367931e-01, 6.373774e+00
105, 1.964075e+00, 6.374494e-01, 6.373774e+00
106, 1.964686e+00, 6.381262e-01, 6.373774e+00
107, 1.965302e+00, 6.388313e-01, 6.373774e+00
108, 1.965922e+00, 6.392046e-01, 6.373774e+00
109, 1.966545e+00, 6.393113e-01, 6.373774e+00
110, 1.967184e+00, 6.394209e-01, 6.373774e+00
111, 1.967832e+00, 6.395330e-01, 6.373774e+00
112, 1.968487e+00, 6.396476e-01, 6.373774e+00
113, 1.969144e+00, 6.397647e-01, 6.373774e+00
114, 1.969802e+00, 6.398841e-01, 6.373774e+00
115, 1.970452e+00, 6.400056e-01, 6.373774e+00
116, 1.971108e+00, 6.401291e-01, 6.373774e+00
117, 1.971770e+00, 6.402547e-01, 6.373774e+00
118, 1.972433e+00, 6.403825e-01, 6.373774e+00
119, 1.973095e+00, 6.405123e-01, 6.373774e+00
120, 1.973748e+00, 6.406441e-01, 6.373774e+00
121, 1.974398e+00, 6.407776e-01, 6.373774e+00
122, 1.975068e+00, 6.409130e-01, 6.373774e+00
123, 1.975740e+00, 6.410501e-01, 6.373774e+00
124, 1.976420e+00, 6.411890e-01, 6.373774e+00
125, 1.977089e+00, 6.413297e-01, 6.373774e+00
126, 1.977753e+00, 6.414721e-01, 6.373774e+00
127, 1.978420e+00, 6.416163e-01, 6.373774e+00
128, 1.979094e+00, 6.417622e-01, 6.373774e+00
129, 1.979773e+00, 6.419098e-01, 6.373774e+00
130, 1.980459e+00, 6.420590e-01, 6.373774e+00
131, 1.981137e+00, 6.422098e-01, 6.373774e+00
