delta_s_mm,delta_mm,Ps_N,P_N,max_damage,mean_damage,nElem_D_ge_0p005,nElem_D_ge_0p050,nElem_D_ge_0p950,nElem_D_ge_liveThreshold,newton_iterations,relative_residual,mean_h_oliver_mm,min_h_oliver_mm,max_h_oliver_mm,saved_png
0.000333333333333333,0.000555555555555556,146.07614301596,733.982015453593,0,0,0,0,0,0,3,4.68086680527335e-12,7.55860972715243,1.8975549691579,16.2954301897713,
0.000666666666666667,0.00111111111111111,292.15228603202,1467.96403090764,0,0,0,0,0,0,3,1.03181907462613e-11,7.55860972715244,1.8975549691579,16.2954301897711,
0.001,0.00166666666666667,438.228429048287,2201.9460463624,0,0,0,0,0,0,3,1.7125190154843e-11,7.55860972715245,1.89755496915789,16.2954301897705,
0.00133333333333333,0.00222222222222222,584.304572064775,2935.92806181809,0,0,0,0,0,0,3,2.50799381262823e-11,7.55860972715245,1.89755496915786,16.2954301897693,
0.00166666666666667,0.00277777777777778,730.380715081519,3669.91007727484,0,0,0,0,0,0,3,3.36273231482664e-11,7.55860972715247,1.89755496915783,16.2954301897684,
0.002,0.00333333333333333,876.456858098509,4403.89209273275,0,0,0,0,0,0,3,4.35260716358243e-11,7.55860972715247,1.8975549691578,16.2954301897672,
0.00233333333333333,0.00388888888888889,1022.52852708507,5137.84207779388,0.0131566711224136,6.9512712645499e-07,1,0,0,1,9,4.88137367824493e-05,7.55860887796388,1.89755492683884,16.2954571436922,
0.00266666666666667,0.00444444444444444,1168.39290026479,5868.98513774267,0.177204508003262,6.11329891439201e-05,10,9,0,10,22,4.68913898181711e-05,7.55861458905766,1.89751886397972,16.2978401840343,
0.003,0.005,1313.78821418252,6588.68842394546,0.378481489705913,0.000318498121392219,27,25,0,27,29,5.35381556661108e-05,7.55824272799619,1.89738520018928,16.3085296767079,
0.00333333333333333,0.00555555555555555,1459.03270384736,7300.30400931551,0.512264111229773,0.000614470718003904,30,30,0,30,27,3.60431432087083e-05,7.55785689858546,1.89723214169504,16.3215173736308,
0.00366666666666667,0.00611111111111111,1604.33886782596,8009.32990529024,0.599597965592322,0.00084660061019035,33,33,0,33,25,4.95419044241885e-05,7.55751088470679,1.89712221755397,16.3344261413784,
0.004,0.00666666666666666,1749.8587151347,8717.85756111624,0.666558139954411,0.00101171874517221,35,34,0,35,23,3.72915751838399e-05,7.55705675191326,1.89703400149273,16.3453669700021,
0.00433333333333333,0.00722222222222222,1895.36744166678,9425.11747389526,0.714332228732789,0.00114937289872538,37,36,0,37,22,3.06076636551467e-05,7.55661635084628,1.89696227162004,16.3549282782676,
0.00466666666666667,0.00777777777777777,2040.47100459045,10129.6717200843,0.753947736998363,0.00131862146638009,50,46,0,50,25,3.70153332376333e-05,7.55612181405308,1.89690948141111,16.36462034689,
0.005,0.00833333333333333,2184.76386431268,10829.4355559229,0.790992173912781,0.00154019572887421,58,55,0,58,26,4.68702823299694e-05,7.5555123193674,1.89686097148401,16.3754588793808,
0.00533333333333333,0.00888888888888889,2328.44547385712,11524.6024727256,0.81994455159466,0.00179358875400704,66,63,0,66,30,3.84144556342392e-05,7.55500383643655,1.89682083839112,16.3881040069213,
0.00566666666666667,0.00944444444444444,2471.38874387948,12211.9271242274,0.843022612275371,0.00213803690744968,85,82,0,85,37,4.57989165716377e-05,7.55445055881682,1.89676812091063,16.4018529449801,
0.006,0.01,2613.52012194037,12891.4961226725,0.862470091790307,0.00252768513400824,93,87,0,93,36,5.84624025421476e-05,7.55380734281099,1.89671819434838,16.4174336744376,
0.00633333333333333,0.0105555555555556,2754.57731412043,13560.674858274,0.879257413783882,0.00299474622908467,121,111,0,121,40,6.96112469356081e-05,7.55315575976929,1.89664977497223,16.4348236735841,
0.00666666666666667,0.0111111111111111,2894.21001263616,14215.213145654,0.893730195546976,0.00355108067430443,141,132,0,141,40,0.000682938479314998,7.55254948868313,1.89660809191396,16.4550681989418,
0.007,0.0116666666666667,3032.79256832472,14858.5492110176,0.906069318692197,0.00414525707105969,167,155,0,167,40,0.00292584079246794,7.55185030701577,1.8965909963732,16.4761441686326,
0.00733333333333333,0.0122222222222222,3169.76453114635,15487.7391149443,0.917384500083612,0.00484655360172967,202,188,0,202,40,0.00459558778344427,7.55090930072077,1.89658914603402,16.4988026871935,
0.00766666666666667,0.0127777777777778,3304.77553164721,16093.447915337,0.927167484559934,0.00580277543122428,244,227,0,244,40,0.00431468047941763,7.54999283042275,1.89665732271148,16.5259460541904,
0.008,0.0133333333333333,3437.08812077163,16670.4111359949,0.935512782042495,0.00696808806530003,278,269,0,278,40,0.0268631691661305,7.54902230656176,1.89679860896983,16.5571532597364,
0.00833333333333333,0.0138888888888889,3566.03589089382,17218.6902830329,0.942822499934964,0.00826633838557088,330,306,0,330,40,0.00979599246276663,7.54798527569955,1.8969964311288,16.5925165930915,
0.00866666666666667,0.0144444444444444,3690.72881580817,17729.2041413458,0.949197106967885,0.00986841082681675,390,369,0,390,40,0.288825505789211,7.54673441383302,1.89733415065041,16.6320801066464,
0.009,0.015,3808.47896379158,18177.2814932766,0.955025302973809,0.0121392186901433,461,435,10,461,40,0.0980930605958008,7.54532051464952,1.89805103490456,16.678681677929,out_NR_vectorized_LIVE_damage_mesh\increment_damaged_geometry_png\Job-1_inc_0027_damageMesh_omega_ge_9p5000em01.png
0.00933333333333333,0.0155555555555555,3917.32987207122,18547.9748895729,0.960192016353996,0.0148977316191217,533,507,26,533,40,0.263997122160661,7.54404429717089,1.89949616011495,16.7326384247813,out_NR_vectorized_LIVE_damage_mesh\increment_damaged_geometry_png\Job-1_inc_0028_damageMesh_omega_ge_9p5000em01.png
0.00966666666666667,0.0161111111111111,4013.78211868656,18820.4247308334,0.965084226196469,0.0182250770657634,615,572,31,615,40,1,7.54296651687936,1.90164297586644,16.7924260069032,out_NR_vectorized_LIVE_damage_mesh\increment_damaged_geometry_png\Job-1_inc_0029_damageMesh_omega_ge_9p5000em01.png
0.01,0.0166666666666667,4092.3791666607,18960.9295918462,0.969602802873541,0.022172567194568,731,691,33,731,40,1,7.54200361833638,1.904609953126,16.8584081537493,out_NR_vectorized_LIVE_damage_mesh\increment_damaged_geometry_png\Job-1_inc_0030_damageMesh_omega_ge_9p5000em01.png
0.0103333333333333,0.0172222222222222,4139.45729712196,18872.9821935098,0.973796836820229,0.0275863603791653,848,806,40,848,40,1,7.54047863913271,1.90757902889911,16.9336776249259,out_NR_vectorized_LIVE_damage_mesh\increment_damaged_geometry_png\Job-1_inc_0031_damageMesh_omega_ge_9p5000em01.png
0.0106666666666667,0.0177777777777778,4126.06505238031,18377.9229346063,0.977631774921225,0.0347364856185627,995,958,60,995,40,1,7.53832331783071,1.9080316698427,17.0228896157036,out_NR_vectorized_LIVE_damage_mesh\increment_damaged_geometry_png\Job-1_inc_0032_damageMesh_omega_ge_9p5000em01.png
0.011,0.0183333333333333,4059.61948345571,17496.6782043593,0.981199808902078,0.041275234863775,1100,1064,84,1100,40,1,7.53467070857157,1.90578230994277,17.1075277146054,out_NR_vectorized_LIVE_damage_mesh\increment_damaged_geometry_png\Job-1_inc_0033_damageMesh_omega_ge_9p5000em01.png
0.0113333333333333,0.0188888888888889,4017.10531360934,16769.1442316572,0.983794641351336,0.0448247343338211,1139,1103,127,1139,40,1,7.53217694250066,1.90374342224826,17.17235591955,out_NR_vectorized_LIVE_damage_mesh\increment_damaged_geometry_png\Job-1_inc_0034_damageMesh_omega_ge_9p5000em01.png
0.0116666666666667,0.0194444444444444,3991.88392830785,16193.2814525527,0.9857821524891,0.047027925114948,1175,1141,180,1175,40,1,7.53005137687946,1.90206083795472,17.2258330527859,out_NR_vectorized_LIVE_damage_mesh\increment_damaged_geometry_png\Job-1_inc_0035_damageMesh_omega_ge_9p5000em01.png
0.012,0.02,3968.46139240248,15632.1637460995,0.987615658743648,0.0489361502483476,1201,1167,261,1201,40,1,7.52801678907506,1.9001214601731,17.2590144997177,out_NR_vectorized_LIVE_damage_mesh\increment_damaged_geometry_png\Job-1_inc_0036_damageMesh_omega_ge_9p5000em01.png
0.0123333333333333,0.0205555555555556,3951.38130634262,15125.917626584,0.989169381612269,0.0504140567029767,1223,1187,367,1223,40,0.747762472345453,7.52600741975107,1.89831076550819,17.2766293425283,out_NR_vectorized_LIVE_damage_mesh\increment_damaged_geometry_png\Job-1_inc_0037_damageMesh_omega_ge_9p5000em01.png
0.0126666666666667,0.0211111111111111,3940.94153590002,14694.7895473785,0.990415994076199,0.051337764073381,1243,1204,448,1243,40,0.441060742318712,7.52394514657581,1.89691218969406,17.3000259180959,out_NR_vectorized_LIVE_damage_mesh\increment_damaged_geometry_png\Job-1_inc_0038_damageMesh_omega_ge_9p5000em01.png
0.013,0.0216666666666667,3932.88115082092,14291.8813595028,0.991447580041602,0.0521935431462127,1259,1222,514,1259,40,0.499513027963804,7.52225289972041,1.89567721034494,17.3166447842655,out_NR_vectorized_LIVE_damage_mesh\increment_damaged_geometry_png\Job-1_inc_0039_damageMesh_omega_ge_9p5000em01.png
0.0133333333333333,0.0222222222222222,3926.61158620451,13913.9039912641,0.992314779705107,0.0529679622534648,1280,1239,560,1280,40,0.380006338616403,7.52068619685849,1.89456737788442,17.3315114061429,out_NR_vectorized_LIVE_damage_mesh\increment_damaged_geometry_png\Job-1_inc_0040_damageMesh_omega_ge_9p5000em01.png
0.0136666666666667,0.0227777777777778,3921.95057558264,13554.4720980247,0.993055378499719,0.0537227450401348,1293,1256,598,1293,40,0.328912648915366,7.51938710441298,1.89365270093007,17.3404280019564,out_NR_vectorized_LIVE_damage_mesh\increment_damaged_geometry_png\Job-1_inc_0041_damageMesh_omega_ge_9p5000em01.png
0.014,0.0233333333333333,3918.99607698298,13213.1851591522,0.993693980366324,0.054405483028777,1302,1267,644,1302,40,0.20579516536133,7.51779969397289,1.89291022106972,17.3473078006834,out_NR_vectorized_LIVE_damage_mesh\increment_damaged_geometry_png\Job-1_inc_0042_damageMesh_omega_ge_9p5000em01.png
0.0143333333333333,0.0238888888888889,3917.80588491353,12889.9637850691,0.994247990709042,0.0549869049064913,1310,1273,674,1310,40,0.186824920433896,7.51634228793504,1.89228097430314,17.3549131324139,out_NR_vectorized_LIVE_damage_mesh\increment_damaged_geometry_png\Job-1_inc_0043_damageMesh_omega_ge_9p5000em01.png
0.0146666666666667,0.0244444444444445,3918.0872350803,12584.4442103606,0.994732871012498,0.0554395550921363,1318,1276,689,1318,40,0.112735138406528,7.51472912120172,1.89178547354702,17.3668468047544,out_NR_vectorized_LIVE_damage_mesh\increment_damaged_geometry_png\Job-1_inc_0044_damageMesh_omega_ge_9p5000em01.png
0.015,0.025,3919.69227350149,12291.5898618077,0.995160084403051,0.0559035437300891,1328,1288,703,1328,40,0.187460519368164,7.51322763695282,1.89142911539328,17.3758836793432,out_NR_vectorized_LIVE_damage_mesh\increment_damaged_geometry_png\Job-1_inc_0045_damageMesh_omega_ge_9p5000em01.png
0.0153333333333333,0.0255555555555556,3922.54950138366,12010.9017709505,0.995539234086603,0.0563417926884379,1334,1293,727,1334,40,0.134345925516863,7.5114791123849,1.89122229016273,17.383009766165,out_NR_vectorized_LIVE_damage_mesh\increment_damaged_geometry_png\Job-1_inc_0046_damageMesh_omega_ge_9p5000em01.png
0.0156666666666667,0.0261111111111111,3926.6632473387,11741.944214136,0.995877510979441,0.056766299596731,1343,1303,743,1343,40,0.374603506148766,7.50988256211012,1.89116163570873,17.3895264459751,out_NR_vectorized_LIVE_damage_mesh\increment_damaged_geometry_png\Job-1_inc_0047_damageMesh_omega_ge_9p5000em01.png
0.016,0.0266666666666666,3932.11583484344,11483.269939937,0.996180741590555,0.0571820590748925,1351,1308,757,1351,40,0.770971892963209,7.50749225362068,1.8912401907286,17.3935285040318,out_NR_vectorized_LIVE_damage_mesh\increment_damaged_geometry_png\Job-1_inc_0048_damageMesh_omega_ge_9p5000em01.png
0.0163333333333333,0.0272222222222222,3938.82848635324,11234.9857240473,0.996453567398329,0.057553242835342,1354,1315,768,1354,40,0.443282586386727,7.50509543845343,1.89145715093101,17.3983451215735,out_NR_vectorized_LIVE_damage_mesh\increment_damaged_geometry_png\Job-1_inc_0049_damageMesh_omega_ge_9p5000em01.png
