delta_s_mm,delta_mm,Ps_N,P_N
0.0006,0.001,260.422852751529,1320.27193519555
0.0012,0.002,520.845705503058,2640.5438703911
0.0018,0.003,781.268558254588,3960.81580558666
0.0024,0.004,1041.67204500724,5280.94080691
0.003,0.005,1301.21965815241,6584.08539162994
0.0036,0.006,1560.19326516443,7861.67569902596
0.0042,0.007,1819.64288966774,9135.29790178761
0.0048,0.00800000000000001,2078.21489669643,10401.6052713542
0.0054,0.009,2334.70174979859,11652.959514804
0.006,0.01,2589.01133817507,12879.2237337792
0.0066,0.011,2839.6481252152,14070.0816969545
0.0072,0.012,3086.17059185317,15219.4860631782
0.0078,0.013,3326.54995330436,16303.5197292994
0.0084,0.014,3556.37140149553,17288.1924274345
0.009,0.015,3769.19378126301,18122.9268557575
0.0096,0.016,3949.36978317181,18683.4893485576
0.0102,0.017,4064.24066763888,18750.0074966532
0.0108,0.018,4013.90606307017,17697.727777581
0.0114,0.019,3903.54342420172,16169.0599089394
0.012,0.02,3857.20614689267,15156.882594324
0.0126,0.021,3826.50731121529,14305.7499055867
0.0132,0.022,3787.83294558594,13381.9418502445
0.0138,0.023,3771.61843840382,12707.4295265415
0.0144,0.024,3762.22622771843,12094.2813367563
0.015,0.025,3759.00920290652,11542.0738793144
0.0156,0.026,3761.0202889963,11034.5582201047
0.0162,0.027,3768.40022896485,10566.4150841596
0.0168,0.028,3780.41589148116,10134.7419181071
0.0174,0.029,3796.21218436913,9731.39828536547
0.018,0.03,3816.27272273837,9355.7653828107
0.0186,0.031,3839.85684587822,9003.89677274937
0.0192,0.032,3866.69814823928,8673.42785323171
0.0198,0.033,3896.68043085073,8361.72221458751
0.0204,0.034,3929.63941374907,8068.85442770948
0.021,0.035,3965.70366391346,7795.34945735672
0.0216,0.036,4004.63806495748,7538.45589126515
0.0222,0.037,4045.24643378046,7273.54261388026
0.0228,0.038,4089.07653257642,7036.99485227111
0.0234,0.039,4135.00366743267,6811.87200462599
0.024,0.04,4183.19274701344,6595.85193397605
0.0246,0.041,4233.18304691156,6391.12420302
0.0252,0.042,4284.79616507392,6197.56798573691
0.0258,0.043,4338.46651746406,6011.99089320782
0.0264,0.044,4394.04541716336,5833.1055502996
0.027,0.045,4451.19776044087,5662.67703402933
0.0276,0.046,4509.66722627092,5500.49220930128
0.0282,0.047,4569.71704657412,5344.92234253424
0.0288,0.048,4631.03368813687,5196.23907364624
0.0294,0.049,4693.5233530005,5053.88356619637
0.03,0.05,4757.02033640177,4917.39914795412
0.0306,0.051,4821.54410796906,4785.98587111913
0.0312,0.052,4886.97762748487,4659.42381508188
0.0318,0.053,4953.64819483602,4536.83723094422
0.0324,0.054,5021.30296180108,4418.67558783342
0.033,0.055,5089.63060281823,4305.24579056685
0.0336,0.056,5158.56104192726,4195.85784454419
0.0342,0.057,5228.13302833565,4090.43521764883
0.0348,0.058,5298.28404772214,3988.75730864162
0.0354,0.059,5369.08222621358,3890.35987136797
0.036,0.06,5440.53627743101,3795.20132364966
0.0366,0.061,5512.62524240036,3702.94663556923
0.0372,0.062,5585.26770451335,3613.63382339339
0.0378,0.063,5658.38530425234,3527.0477769746
0.0384,0.064,5732.21338588882,3442.97037056454
0.039,0.065,5806.37987699066,3361.59818865349
0.0396,0.066,5880.86469355481,3282.78040681746
0.0402,0.067,5955.43187048481,3206.4319272695
0.0408,0.068,6030.21965972335,3132.44911800071
0.0414,0.069,6105.02733429775,3060.57116790117
0.042,0.07,6179.90451558976,2990.67874155015
0.0426,0.071,6255.00446308346,2922.86194697076
0.0432,0.072,6330.14986834075,2856.955144271
0.0438,0.073,6405.50670630576,2792.85517464739
0.0444,0.074,6481.09087676407,2730.61077130163
0.045,0.075,6556.80092545262,2670.06546345775
0.0456,0.076,6632.61382222525,2611.16640101981
0.0462,0.077,6708.41280417572,2553.76789122166
0.0468,0.078,6784.21026356184,2497.71704071342
0.0474,0.079,6859.98562666027,2443.06546178662
0.048,0.08,6935.44408723475,2389.5806263619
0.0486,0.081,7010.80092650205,2337.26288852591
0.0492,0.082,7085.96524188464,2286.01202484178
0.0498,0.083,7160.69722974623,2235.70099305758
0.0504,0.084,7235.27033681863,2186.5053591283
0.051,0.085,7309.94143864096,2138.54814230963
0.0516,0.086,7384.59393095466,2091.68201372914
0.0522,0.087,7459.09862506785,2045.80036032965
0.0528,0.088,7533.66090336015,2000.98939428971
0.0534,0.089,7607.95452105108,1957.01036614826
0.054,0.09,7682.00977442987,1913.85421931368
0.0546,0.0910000000000001,7755.97886334615,1871.56081373135
0.0552,0.092,7829.96519480815,1830.23172591973
0.0558,0.093,7903.74092981257,1789.7668855041
0.0564,0.094,7976.37806235564,1749.59242229054
0.057,0.0950000000000001,8047.96396695507,1709.72450085007
